tconst	titleType	originalTitle	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	country
tt0116391	movie	Gang	0	2000	167	Action,Crime,Drama	6.3	Mazhar Khan	\N	IN
tt0116748	movie	Karobaar: The Business of Love	0	2000	180	Drama,Romance	3.7	Rakesh Roshan	Sachin Bhowmick,Ravi Kapoor,Sagar Sarhadi	IN
tt0118578	movie	Albela	0	2001	145	Comedy,Drama,Romance	3.7	Deepak Sareen	Honey Irani,Javed Siddiqui	IN
tt0120117	movie	Shikari	0	2000	160	Crime,Drama,Thriller	4.6	N. Chandra	N. Chandra,Rajeev Kaul,Praful Parekh	IN
tt0151150	movie	Josh	0	2000	162	Action,Drama,Musical	6.1	Mansoor Khan	Aatish Kapadia,Mansoor Khan,Nidhi Tuli,Neeraj Vora	IN
tt0153517	movie	Jackpot	1	2005	57	Adult,Crime,Mystery	\N	\N	\N	IN
tt0169102	movie	Lagaan: Once Upon a Time in India	0	2001	224	Drama,Musical,Sport	8.1	Ashutosh Gowariker	Ashutosh Gowariker,Kumar Dave,Sanjay Dayma,K.P. Saxena	IN
tt0187279	movie	Meri Biwi Ka Jawab Nahin	0	2004	150	Action,Comedy,Romance	3.6	Pankaj Parashar,Jaidev Chakraborty,S.M. Iqbal	\N	IN
tt0205380	movie	Sanam Teri Kasam	0	2009	170	Action,Drama,Romance	4.2	Lawrence D'Souza	Talat Rekhi	IN
tt0213677	movie	Ghaath	0	2000	\N	Crime,Drama,Thriller	4.9	Akashdeep Sabir	Neeraj Pathak	IN
tt0213890	movie	Mohabbatein	0	2000	216	Drama,Musical,Romance	7.1	Aditya Chopra	Aditya Chopra	IN
tt0218533	movie	Pukar	0	2000	176	Action,Drama,Romance	6.7	Rajkumar Santoshi	Vijay Deveshwar,K.K. Raina,Anjum Rajabali,Rajkumar Santoshi	IN
tt0220596	movie	Khauff	0	2000	124	Action,Crime,Drama	4.5	Sanjay Gupta	Sanjay Gupta,Sutanu Gupta,Anand S. Vardhan	IN
tt0221982	movie	Gaja Gamini	0	2000	122	Drama,Fantasy	4.5	M.F. Hussain	Kamna Chandra,M.F. Hussain	IN
tt0222012	movie	Hey Ram	0	2000	186	Crime,Drama,History	8.0	Kamal Haasan	H. Banerjee,Kamal Haasan,Manohar Shyam Joshi	IN
tt0222024	movie	Hum Tumhare Hain Sanam	0	2002	174	Comedy,Drama,Romance	5.4	K.S. Adiyaman,Sanjay Singh	K.S. Adiyaman,Arun Kumar,Ashok Mehta,Reema Rakesh Nath	IN
tt0222270	movie	Phir Bhi Dil Hai Hindustani	0	2000	160	Comedy,Drama,Musical	6.2	Aziz Mirza	Sanjay Chhel,Raaj Kumar Dahima,Manoj Lalwani	IN
tt0227194	movie	One 2 Ka 4	0	2001	169	Action,Crime,Drama	5.5	Shashilal K. Nair	Sanjay Chhel,Raaj Kumar Dahima,Manoj Lalwani	IN
tt0230055	movie	Bulandi	0	2000	175	Action,Drama	5.2	Rama Rao Tatineni	Aadesh K. Arjun,Erode Sounder	IN
tt0232079	movie	Mela	0	2000	172	Action,Adventure,Comedy	3.7	Dharmesh Darshan	Robin Bhatt,Dharmesh Darshan,Sanjeev Duggal,Neeraj Vora	IN
tt0234000	movie	Kaho Naa... Pyaar Hai	0	2000	172	Action,Musical,Romance	6.9	Rakesh Roshan	Rakesh Roshan,Sagar Sarhadi,Honey Irani,Ravi Kapoor	IN
tt0238936	movie	Devdas	0	2002	185	Drama,Musical,Romance	7.5	Sanjay Leela Bhansali	Sarat Chandra Chattopadhyay,Prakash Kapadia,Sanjay Leela Bhansali	IN
tt0240200	movie	Water	0	2005	117	Drama	7.6	Deepa Mehta	Deepa Mehta,Anurag Kashyap	IN
tt0242519	movie	Hera Pheri	0	2000	156	Action,Comedy,Crime	8.2	Priyadarshan	Siddique,Lal,Neeraj Vora,Anand S. Vardhan	IN
tt0244528	movie	Hadh Kar Di Aapne	0	2000	134	Comedy,Romance	5.3	Manoj Agrawal	Satish Jain,Rajeev Kaul,Anwar Khan,Praful Parekh,Alok Upadhyay	IN
tt0245825	movie	Chal Mere Bhai	0	2000	136	Comedy,Romance	4.7	David Dhawan	Ikram Akhtar,Rumi Jaffery,Yunus Sajawal	IN
tt0247911	movie	Aap Mujhe Achche Lagne Lage	0	2002	180	Action,Drama,Romance	3.1	Vikram Bhatt	Robin Bhatt,Girish Dhamija,Sanjeev Duggal	IN
tt0247944	movie	Badal	0	2000	166	Action,Crime,Drama	5.0	Raj Kanwar	Raj Kanwar,Robin Bhatt,Sutanu Gupta,Santosh Saroj	IN
tt0247992	movie	Dulhan Hum Le Jayenge	0	2000	158	Comedy,Drama,Romance	5.1	David Dhawan	Rumi Jaffery	IN
tt0248012	movie	Fiza	0	2000	170	Crime,Drama,Romance	6.0	Khalid Mohamed	Khalid Mohamed,Javed Siddiqui	IN
tt0248126	movie	Kabhi Khushi Kabhie Gham...	0	2001	210	Drama,Musical,Romance	7.4	Karan Johar	Karan Johar,Sheena Parikh	IN
tt0248185	movie	Mission Kashmir	0	2000	154	Action,Drama,Thriller	6.6	Vidhu Vinod Chopra	Abhijat Joshi,Suketu Mehta,Vikram Chandra,Vidhu Vinod Chopra,Atul Tiwari,Vibha Singh	IN
tt0248216	movie	Na Tum Jaano Na Hum	0	2002	158	Action,Comedy,Drama	4.9	Arjun Sablok	Pratibha Acharya,Arjun Sablok	IN
tt0248617	movie	Yaadein...	0	2001	171	Drama,Musical,Romance	4.2	Subhash Ghai	Subhash Ghai,Amrik Gill,Aatish Kapadia,Anuradha Tiwari	IN
tt0249588	movie	Hum To Mohabbat Karega	0	2000	153	Action,Comedy,Romance	3.1	Kundan Shah	Kundan Shah,Ranjit Kapoor	IN
tt0250415	movie	Har Dil Jo Pyar Karega...	0	2000	173	Comedy,Drama,Musical	5.1	Raj Kanwar	Rumi Jaffery	IN
tt0250452	movie	Joru Ka Ghulam	0	2000	169	Comedy,Drama,Romance	5.1	Shakeel Noorani	Ikram Akhtar,Tanveer Khan	IN
tt0250483	movie	Kya Kehna	0	2000	155	Drama,Romance	5.8	Kundan Shah	Honey Irani	IN
tt0250690	movie	Refugee	0	2000	207	Drama,Musical,Romance	5.2	J.P. Dutta,Dinesh Mahadev	J.P. Dutta,O.P. Dutta	IN
tt0250774	movie	Tera Jadoo Chal Gayaa	0	2000	143	Musical,Romance	3.2	A. Muthu	Ikram Akhtar,Robin Bhatt,K.V. Shankar,Javed Siddiqui	IN
tt0252038	movie	Tarkieb	0	2000	156	Mystery,Thriller	5.1	Esmayeel Shroff	Moin-ud-din	IN
tt0252277	movie	Bichhoo	0	2000	160	Action,Crime,Drama	5.0	Guddu Dhanoa	\N	IN
tt0253194	movie	Kunwara	0	2000	134	Comedy,Drama,Romance	5.2	David Dhawan	Rumi Jaffery,Nagendra Babu,Yunus Sajawal	IN
