tconst	titleType	originalTitle	startYear	endYear	runtimeMinutes	originalYear
tt0213890	movie	mohabatein	2000		216.0	2000
tt0250690	movie	refuge	2000		207.0	2000
tt0270321	movie	drbabasahebambedkar	2000		197.0	2000
tt0222012	movie	heyram	2000		186.0	2000
tt0116748	movie	karobarthebusinesoflove	2000		180.0	2000
tt0218533	movie	pukar	2000		176.0	2000
tt0230055	movie	bulandi	2000		175.0	2000
tt0250415	movie	hardiljopyarkarega	2000		173.0	2000
tt0232079	movie	mela	2000		172.0	2000
tt0234000	movie	kahonapyarhai	2000		172.0	2000
tt0248012	movie	fiza	2000		170.0	2000
tt0250452	movie	jorukaghulam	2000		169.0	2000
tt0116391	movie	gang	2000		167.0	2000
tt0255112	movie	dhaiaksharpremke	2000		167.0	2000
tt0247944	movie	badal	2000		166.0	2000
tt0255212	movie	hamaradilapkepashai	2000		165.0	2000
tt0255097	movie	dewane	2000		164.0	2000
tt0271748	movie	rajuchacha	2000		163.0	2000
tt0151150	movie	josh	2000		162.0	2000
tt0255111	movie	dhadkan	2000		161.0	2000
tt0120117	movie	shikari	2000		160.0	2000
tt0252277	movie	bicho	2000		160.0	2000
tt0222270	movie	phirbhidilhaihindustani	2000		160.0	2000
tt0268401	movie	kahinpyarnahojaye	2000		159.0	2000
tt0247992	movie	dulhanhumlejayenge	2000		158.0	2000
tt0326745	movie	baghi	2000		156.0	2000
tt0252038	movie	tarkieb	2000		156.0	2000
tt0242519	movie	herapheri	2000		156.0	2000
tt0250483	movie	kyakehna	2000		155.0	2000
tt0248185	movie	misionkashmir	2000		154.0	2000
tt0249588	movie	humtomohabatkarega	2000		153.0	2000
tt0254927	movie	aghaz	2000		153.0	2000
tt0255543	movie	rajakoranisepyarhogaya	2000		148.0	2000
tt0255120	movie	dilpematleyar	2000		148.0	2000
tt0289725	movie	jung	2000		147.0	2000
tt0273884	movie	nidan	2000		146.0	2000
tt0343064	movie	tapish	2000		144.0	2000
tt0395701	movie	papathegreat	2000		143.0	2000
tt0250774	movie	terajadochalgaya	2000		143.0	2000
tt0263491	movie	jisdeshmeingangarehtahain	2000		141.0	2000
tt0311413	movie	krodh	2000		141.0	2000
tt0256534	movie	zindagizindabad	2000		140.0	2000
tt0270880	movie	champion	2000		140.0	2000
tt0494926	movie	bilano786	2000		140.0	2000
