tconst	titleType	originalTitle	startYear	endYear	runtimeMinutes	originalYear
tt0187393	movie	thepatriot	2000		165.0	2000
tt0181865	movie	trafic	2000		147.0	2000
tt0146309	movie	thirtendays	2000		145.0	2000
tt0162222	movie	castaway	2000		143.0	2000
tt0181536	movie	findingforester	2000		136.0	2000
tt0168629	movie	dancerinthedark	2000		135.0	2000
tt0200720	movie	thehouseofmirth	2000		135.0	2000
tt0228750	movie	profoflife	2000		135.0	2000
tt0215545	movie	bambozled	2000		135.0	2000
tt0238251	movie	gosip	2000		134.0	2000
tt0247196	movie	beforenightfals	2000		133.0	2000
tt0195685	movie	erinbrockovich	2000		131.0	2000
tt0177971	movie	theperfectstorm	2000		130.0	2000
tt0186566	movie	spacecowboys	2000		130.0	2000
tt0161081	movie	whatliesbeneath	2000		130.0	2000
tt0203019	movie	menofhonor	2000		129.0	2000
tt0171433	movie	kepingthefaith	2000		128.0	2000
tt0160797	movie	rulesofengagement	2000		128.0	2000
tt0207201	movie	whatwomenwant	2000		127.0	2000
tt0208874	movie	thecontender	2000		126.0	2000
tt0146984	movie	thelegendofbagervance	2000		126.0	2000
tt0218967	movie	thefamilyman	2000		125.0	2000
tt0180073	movie	quils	2000		124.0	2000
tt0190865	movie	verticalimit	2000		124.0	2000
tt0199725	movie	lovebasketbal	2000		124.0	2000
tt0223897	movie	payitforward	2000		123.0	2000
tt0216216	movie	the6thday	2000		123.0	2000
tt0183659	movie	polock	2000		122.0	2000
tt0181875	movie	almostfamous	2000		122.0	2000
tt0241303	movie	chocolat	2000		121.0	2000
tt0181984	movie	boilerom	2000		120.0	2000
tt0198021	movie	wheretheheartis	2000		120.0	2000
tt0202677	movie	thewayofthegun	2000		119.0	2000
tt0163978	movie	thebeach	2000		119.0	2000
tt0211938	movie	bait	2000		119.0	2000
tt0188160	movie	priceofglory	2000		118.0	2000
tt0191397	movie	thereplacements	2000		118.0	2000
tt0186151	movie	frequency	2000		118.0	2000
tt0185183	movie	batlefieldearth	2000		117.0	2000
tt0160009	movie	theartofwar	2000		117.0	2000
tt0183505	movie	memyselfirene	2000		116.0	2000
tt0141926	movie	u571	2000		116.0	2000
tt0134084	movie	scream3	2000		116.0	2000
tt0149624	movie	althepretyhorses	2000		116.0	2000
tt0162711	movie	trixie	2000		116.0	2000
tt0165929	movie	romeomustdie	2000		115.0	2000
tt0122459	movie	returntome	2000		115.0	2000
tt0153464	movie	upathevila	2000		115.0	2000
tt0138946	movie	theyards	2000		115.0	2000
tt0236388	movie	theoriginalkingsofcomedy	2000		115.0	2000
tt0210616	movie	centerstage	2000		115.0	2000
tt0167203	movie	idreamedofafrica	2000		114.0	2000
tt0183523	movie	misiontomars	2000		114.0	2000
tt0146882	movie	highfidelity	2000		113.0	2000
tt0210945	movie	rememberthetitans	2000		113.0	2000
tt0164052	movie	holowman	2000		112.0	2000
tt0171359	movie	hamlet	2000		112.0	2000
tt0210567	movie	beautiful	2000		112.0	2000
tt0134630	movie	duets	2000		112.0	2000
tt0203230	movie	youcancountonme	2000		111.0	2000
tt0219699	movie	thegift	2000		111.0	2000
tt0171580	movie	nursebety	2000		110.0	2000
tt0184894	movie	shanghainon	2000		110.0	2000
tt0210075	movie	girlfight	2000		110.0	2000
tt0212346	movie	miscongeniality	2000		109.0	2000
tt0134847	movie	pitchblack	2000		109.0	2000
tt0156841	movie	thenextbesthing	2000		108.0	2000
tt0212338	movie	metheparents	2000		108.0	2000
tt0190590	movie	obrotherwherearthou	2000		107.0	2000
